bengali_date,gregorian_Date
"17 , Ashshin (Aashin) 1401",04/10/1994
"18 , Ashshin (Aashin) 1401",05/10/1994
"19 , Ashshin (Aashin) 1401",06/10/1994
"20 , Ashshin (Aashin) 1401",07/10/1994
"21 , Ashshin (Aashin) 1401",08/10/1994
"22 , Ashshin (Aashin) 1401",09/10/1994
"23 , Ashshin (Aashin) 1401",10/10/1994
"24 , Ashshin (Aashin) 1401",11/10/1994
"25 , Ashshin (Aashin) 1401",12/10/1994
"26 , Ashshin (Aashin) 1401",13/10/1994
"27 , Ashshin (Aashin) 1401",14/10/1994
"28 , Ashshin (Aashin) 1401",15/10/1994
"29 , Ashshin (Aashin) 1401",16/10/1994
"30 , Ashshin (Aashin) 1401",17/10/1994
"1 , Kartik 1401",18/10/1994
"2 , Kartik 1401",19/10/1994
"3 , Kartik 1401",20/10/1994
"4 , Kartik 1401",21/10/1994
"5 , Kartik 1401",22/10/1994
"6 , Kartik 1401",23/10/1994
"7 , Kartik 1401",24/10/1994
"8 , Kartik 1401",25/10/1994
"9 , Kartik 1401",26/10/1994
"10 , Kartik 1401",27/10/1994
"11 , Kartik 1401",28/10/1994
"12 , Kartik 1401",29/10/1994
"13 , Kartik 1401",30/10/1994
"14 , Kartik 1401",31/10/1994
"15 , Kartik 1401",01/11/1994
"16 , Kartik 1401",02/11/1994
"17 , Kartik 1401",03/11/1994
"18 , Kartik 1401",04/11/1994
"19 , Kartik 1401",05/11/1994
"20 , Kartik 1401",06/11/1994
"21 , Kartik 1401",07/11/1994
"22 , Kartik 1401",08/11/1994
"23 , Kartik 1401",09/11/1994
"24 , Kartik 1401",10/11/1994
"25 , Kartik 1401",11/11/1994
"26 , Kartik 1401",12/11/1994
"27 , Kartik 1401",13/11/1994
"28 , Kartik 1401",14/11/1994
"29 , Kartik 1401",15/11/1994
"30 , Kartik 1401",16/11/1994
"1 , Ogrohaeon (Agrahan) 1401",17/11/1994
"2 , Ogrohaeon (Agrahan) 1401",18/11/1994
"3 , Ogrohaeon (Agrahan) 1401",19/11/1994
"4 , Ogrohaeon (Agrahan) 1401",20/11/1994
"5 , Ogrohaeon (Agrahan) 1401",21/11/1994
"6 , Ogrohaeon (Agrahan) 1401",22/11/1994
"7 , Ogrohaeon (Agrahan) 1401",23/11/1994
"8 , Ogrohaeon (Agrahan) 1401",24/11/1994
"9 , Ogrohaeon (Agrahan) 1401",25/11/1994
"10 , Ogrohaeon (Agrahan) 1401",26/11/1994
"11 , Ogrohaeon (Agrahan) 1401",27/11/1994
"12 , Ogrohaeon (Agrahan) 1401",28/11/1994
"13 , Ogrohaeon (Agrahan) 1401",29/11/1994
"14 , Ogrohaeon (Agrahan) 1401",30/11/1994
"15 , Ogrohaeon (Agrahan) 1401",01/12/1994
"16 , Ogrohaeon (Agrahan) 1401",02/12/1994
"17 , Ogrohaeon (Agrahan) 1401",03/12/1994
"18 , Ogrohaeon (Agrahan) 1401",04/12/1994
"19 , Ogrohaeon (Agrahan) 1401",05/12/1994
"20 , Ogrohaeon (Agrahan) 1401",06/12/1994
"21 , Ogrohaeon (Agrahan) 1401",07/12/1994
"22 , Ogrohaeon (Agrahan) 1401",08/12/1994
"23 , Ogrohaeon (Agrahan) 1401",09/12/1994
"24 , Ogrohaeon (Agrahan) 1401",10/12/1994
"25 , Ogrohaeon (Agrahan) 1401",11/12/1994
"26 , Ogrohaeon (Agrahan) 1401",12/12/1994
"27 , Ogrohaeon (Agrahan) 1401",13/12/1994
"28 , Ogrohaeon (Agrahan) 1401",14/12/1994
"29 , Ogrohaeon (Agrahan) 1401",15/12/1994
"30 , Ogrohaeon (Agrahan) 1401",16/12/1994
"1 , Poush 1401",17/12/1994
"2 , Poush 1401",18/12/1994
"3 , Poush 1401",19/12/1994
"4 , Poush 1401",20/12/1994
"5 , Poush 1401",21/12/1994
"6 , Poush 1401",22/12/1994
"7 , Poush 1401",23/12/1994
"8 , Poush 1401",24/12/1994
"9 , Poush 1401",25/12/1994
"10 , Poush 1401",26/12/1994
"11 , Poush 1401",27/12/1994
"12 , Poush 1401",28/12/1994
"13 , Poush 1401",29/12/1994
"14 , Poush 1401",30/12/1994
"15 , Poush 1401",31/12/1994
"16 , Poush 1401",01/01/1995
"17 , Poush 1401",02/01/1995
"18 , Poush 1401",03/01/1995
"19 , Poush 1401",04/01/1995
"20 , Poush 1401",05/01/1995
"21 , Poush 1401",06/01/1995
"22 , Poush 1401",07/01/1995
"23 , Poush 1401",08/01/1995
"24 , Poush 1401",09/01/1995
"25 , Poush 1401",10/01/1995
"26 , Poush 1401",11/01/1995
"27 , Poush 1401",12/01/1995
"28 , Poush 1401",13/01/1995
"29 , Poush 1401",14/01/1995
"1 , Magh (Maagh) 1402",15/01/1995
"2 , Magh (Maagh) 1402",16/01/1995
"3 , Magh (Maagh) 1402",17/01/1995
"4 , Magh (Maagh) 1402",18/01/1995
"5 , Magh (Maagh) 1402",19/01/1995
"6 , Magh (Maagh) 1402",20/01/1995
"7 , Magh (Maagh) 1402",21/01/1995
"8 , Magh (Maagh) 1402",22/01/1995
"9 , Magh (Maagh) 1402",23/01/1995
"10 , Magh (Maagh) 1402",24/01/1995
"11 , Magh (Maagh) 1402",25/01/1995
"12 , Magh (Maagh) 1402",26/01/1995
"13 , Magh (Maagh) 1402",27/01/1995
"14 , Magh (Maagh) 1402",28/01/1995
"15 , Magh (Maagh) 1402",29/01/1995
"16 , Magh (Maagh) 1402",30/01/1995
"17 , Magh (Maagh) 1402",31/01/1995
"18 , Magh (Maagh) 1402",01/02/1995
"19 , Magh (Maagh) 1402",02/02/1995
"20 , Magh (Maagh) 1402",03/02/1995
"21 , Magh (Maagh) 1402",04/02/1995
"22 , Magh (Maagh) 1402",05/02/1995
"23 , Magh (Maagh) 1402",06/02/1995
"24 , Magh (Maagh) 1402",07/02/1995
"25 , Magh (Maagh) 1402",08/02/1995
"26 , Magh (Maagh) 1402",09/02/1995
"27 , Magh (Maagh) 1402",10/02/1995
"28 , Magh (Maagh) 1402",11/02/1995
"29 , Magh (Maagh) 1402",12/02/1995
"30 , Magh (Maagh) 1402",13/02/1995
"1 , Falgun (Phalgun) 1402",14/02/1995
"2 , Falgun (Phalgun) 1402",15/02/1995
"3 , Falgun (Phalgun) 1402",16/02/1995
"4 , Falgun (Phalgun) 1402",17/02/1995
"5 , Falgun (Phalgun) 1402",18/02/1995
"6 , Falgun (Phalgun) 1402",19/02/1995
"7 , Falgun (Phalgun) 1402",20/02/1995
"8 , Falgun (Phalgun) 1402",21/02/1995
"9 , Falgun (Phalgun) 1402",22/02/1995
"10 , Falgun (Phalgun) 1402",23/02/1995
"11 , Falgun (Phalgun) 1402",24/02/1995
"12 , Falgun (Phalgun) 1402",25/02/1995
"13 , Falgun (Phalgun) 1402",26/02/1995
"14 , Falgun (Phalgun) 1402",27/02/1995
"15 , Falgun (Phalgun) 1402",28/02/1995
"16 , Falgun (Phalgun) 1402",01/03/1995
"17 , Falgun (Phalgun) 1402",02/03/1995
"18 , Falgun (Phalgun) 1402",03/03/1995
"19 , Falgun (Phalgun) 1402",04/03/1995
"20 , Falgun (Phalgun) 1402",05/03/1995
"21 , Falgun (Phalgun) 1402",06/03/1995
"22 , Falgun (Phalgun) 1402",07/03/1995
"23 , Falgun (Phalgun) 1402",08/03/1995
"24 , Falgun (Phalgun) 1402",09/03/1995
"25 , Falgun (Phalgun) 1402",10/03/1995
"26 , Falgun (Phalgun) 1402",11/03/1995
"27 , Falgun (Phalgun) 1402",12/03/1995
"28 , Falgun (Phalgun) 1402",13/03/1995
"29 , Falgun (Phalgun) 1402",14/03/1995
"30 , Falgun (Phalgun) 1402",15/03/1995
"1 , Choitro (Chaitra) 1402",16/03/1995
"2 , Choitro (Chaitra) 1402",17/03/1995
"3 , Choitro (Chaitra) 1402",18/03/1995
"4 , Choitro (Chaitra) 1402",19/03/1995
"5 , Choitro (Chaitra) 1402",20/03/1995
"6 , Choitro (Chaitra) 1402",21/03/1995
"7 , Choitro (Chaitra) 1402",22/03/1995
"8 , Choitro (Chaitra) 1402",23/03/1995
"9 , Choitro (Chaitra) 1402",24/03/1995
"10 , Choitro (Chaitra) 1402",25/03/1995
"11 , Choitro (Chaitra) 1402",26/03/1995
"12 , Choitro (Chaitra) 1402",27/03/1995
"13 , Choitro (Chaitra) 1402",28/03/1995
"14 , Choitro (Chaitra) 1402",29/03/1995
"15 , Choitro (Chaitra) 1402",30/03/1995
"16 , Choitro (Chaitra) 1402",31/03/1995
"17 , Choitro (Chaitra) 1402",01/04/1995
"18 , Choitro (Chaitra) 1402",02/04/1995
"19 , Choitro (Chaitra) 1402",03/04/1995
"20 , Choitro (Chaitra) 1402",04/04/1995
"21 , Choitro (Chaitra) 1402",05/04/1995
"22 , Choitro (Chaitra) 1402",06/04/1995
"23 , Choitro (Chaitra) 1402",07/04/1995
"24 , Choitro (Chaitra) 1402",08/04/1995
"25 , Choitro (Chaitra) 1402",09/04/1995
"26 , Choitro (Chaitra) 1402",10/04/1995
"27 , Choitro (Chaitra) 1402",11/04/1995
"28 , Choitro (Chaitra) 1402",12/04/1995
"29 , Choitro (Chaitra) 1402",13/04/1995
"30 , Choitro (Chaitra) 1402",14/04/1995
"1 , Boishakh (Baisakh) 1402",15/04/1995
"2 , Boishakh (Baisakh) 1402",16/04/1995
"3 , Boishakh (Baisakh) 1402",17/04/1995
"4 , Boishakh (Baisakh) 1402",18/04/1995
"5 , Boishakh (Baisakh) 1402",19/04/1995
"6 , Boishakh (Baisakh) 1402",20/04/1995
"7 , Boishakh (Baisakh) 1402",21/04/1995
"8 , Boishakh (Baisakh) 1402",22/04/1995
"9 , Boishakh (Baisakh) 1402",23/04/1995
"10 , Boishakh (Baisakh) 1402",24/04/1995
"11 , Boishakh (Baisakh) 1402",25/04/1995
"12 , Boishakh (Baisakh) 1402",26/04/1995
"13 , Boishakh (Baisakh) 1402",27/04/1995
"14 , Boishakh (Baisakh) 1402",28/04/1995
"15 , Boishakh (Baisakh) 1402",29/04/1995
"16 , Boishakh (Baisakh) 1402",30/04/1995
"17 , Boishakh (Baisakh) 1402",01/05/1995
"18 , Boishakh (Baisakh) 1402",02/05/1995
"19 , Boishakh (Baisakh) 1402",03/05/1995
"20 , Boishakh (Baisakh) 1402",04/05/1995
"21 , Boishakh (Baisakh) 1402",05/05/1995
"22 , Boishakh (Baisakh) 1402",06/05/1995
"23 , Boishakh (Baisakh) 1402",07/05/1995
"24 , Boishakh (Baisakh) 1402",08/05/1995
"25 , Boishakh (Baisakh) 1402",09/05/1995
"26 , Boishakh (Baisakh) 1402",10/05/1995
"27 , Boishakh (Baisakh) 1402",11/05/1995
"28 , Boishakh (Baisakh) 1402",12/05/1995
"29 , Boishakh (Baisakh) 1402",13/05/1995
"30 , Boishakh (Baisakh) 1402",14/05/1995
"31 , Boishakh (Baisakh) 1402",15/05/1995
"1 , Joishtho (Jaishtho) 1402",16/05/1995
"2 , Joishtho (Jaishtho) 1402",17/05/1995
"3 , Joishtho (Jaishtho) 1402",18/05/1995
"4 , Joishtho (Jaishtho) 1402",19/05/1995
"5 , Joishtho (Jaishtho) 1402",20/05/1995
"6 , Joishtho (Jaishtho) 1402",21/05/1995
"7 , Joishtho (Jaishtho) 1402",22/05/1995
"8 , Joishtho (Jaishtho) 1402",23/05/1995
"9 , Joishtho (Jaishtho) 1402",24/05/1995
"10 , Joishtho (Jaishtho) 1402",25/05/1995
"11 , Joishtho (Jaishtho) 1402",26/05/1995
"12 , Joishtho (Jaishtho) 1402",27/05/1995
"13 , Joishtho (Jaishtho) 1402",28/05/1995
"14 , Joishtho (Jaishtho) 1402",29/05/1995
"15 , Joishtho (Jaishtho) 1402",30/05/1995
"16 , Joishtho (Jaishtho) 1402",31/05/1995
"17 , Joishtho (Jaishtho) 1402",01/06/1995
"18 , Joishtho (Jaishtho) 1402",02/06/1995
"19 , Joishtho (Jaishtho) 1402",03/06/1995
"20 , Joishtho (Jaishtho) 1402",04/06/1995
"21 , Joishtho (Jaishtho) 1402",05/06/1995
"22 , Joishtho (Jaishtho) 1402",06/06/1995
"23 , Joishtho (Jaishtho) 1402",07/06/1995
"24 , Joishtho (Jaishtho) 1402",08/06/1995
"25 , Joishtho (Jaishtho) 1402",09/06/1995
"26 , Joishtho (Jaishtho) 1402",10/06/1995
"27 , Joishtho (Jaishtho) 1402",11/06/1995
"28 , Joishtho (Jaishtho) 1402",12/06/1995
"29 , Joishtho (Jaishtho) 1402",13/06/1995
"30 , Joishtho (Jaishtho) 1402",14/06/1995
"31 , Joishtho (Jaishtho) 1402",15/06/1995
"1 , Asharh (Aashar) 1402",16/06/1995
"2 , Asharh (Aashar) 1402",17/06/1995
"3 , Asharh (Aashar) 1402",18/06/1995
"4 , Asharh (Aashar) 1402",19/06/1995
"5 , Asharh (Aashar) 1402",20/06/1995
"6 , Asharh (Aashar) 1402",21/06/1995
"7 , Asharh (Aashar) 1402",22/06/1995
"8 , Asharh (Aashar) 1402",23/06/1995
"9 , Asharh (Aashar) 1402",24/06/1995
"10 , Asharh (Aashar) 1402",25/06/1995
"11 , Asharh (Aashar) 1402",26/06/1995
"12 , Asharh (Aashar) 1402",27/06/1995
"13 , Asharh (Aashar) 1402",28/06/1995
"14 , Asharh (Aashar) 1402",29/06/1995
"15 , Asharh (Aashar) 1402",30/06/1995
"16 , Asharh (Aashar) 1402",01/07/1995
"17 , Asharh (Aashar) 1402",02/07/1995
"18 , Asharh (Aashar) 1402",03/07/1995
"19 , Asharh (Aashar) 1402",04/07/1995
"20 , Asharh (Aashar) 1402",05/07/1995
"21 , Asharh (Aashar) 1402",06/07/1995
"22 , Asharh (Aashar) 1402",07/07/1995
"23 , Asharh (Aashar) 1402",08/07/1995
"24 , Asharh (Aashar) 1402",09/07/1995
"25 , Asharh (Aashar) 1402",10/07/1995
"26 , Asharh (Aashar) 1402",11/07/1995
"27 , Asharh (Aashar) 1402",12/07/1995
"28 , Asharh (Aashar) 1402",13/07/1995
"29 , Asharh (Aashar) 1402",14/07/1995
"30 , Asharh (Aashar) 1402",15/07/1995
"31 , Asharh (Aashar) 1402",16/07/1995
"32 , Asharh (Aashar) 1402",17/07/1995
"1 , Srabon (Shraban) 1402",18/07/1995
"2 , Srabon (Shraban) 1402",19/07/1995
"3 , Srabon (Shraban) 1402",20/07/1995
"4 , Srabon (Shraban) 1402",21/07/1995
"5 , Srabon (Shraban) 1402",22/07/1995
"6 , Srabon (Shraban) 1402",23/07/1995
"7 , Srabon (Shraban) 1402",24/07/1995
"8 , Srabon (Shraban) 1402",25/07/1995
"9 , Srabon (Shraban) 1402",26/07/1995
"10 , Srabon (Shraban) 1402",27/07/1995
"11 , Srabon (Shraban) 1402",28/07/1995
"12 , Srabon (Shraban) 1402",29/07/1995
"13 , Srabon (Shraban) 1402",30/07/1995
"14 , Srabon (Shraban) 1402",31/07/1995
"15 , Srabon (Shraban) 1402",01/08/1995
"16 , Srabon (Shraban) 1402",02/08/1995
"17 , Srabon (Shraban) 1402",03/08/1995
"18 , Srabon (Shraban) 1402",04/08/1995
"19 , Srabon (Shraban) 1402",05/08/1995
"20 , Srabon (Shraban) 1402",06/08/1995
"21 , Srabon (Shraban) 1402",07/08/1995
"22 , Srabon (Shraban) 1402",08/08/1995
"23 , Srabon (Shraban) 1402",09/08/1995
"24 , Srabon (Shraban) 1402",10/08/1995
"25 , Srabon (Shraban) 1402",11/08/1995
"26 , Srabon (Shraban) 1402",12/08/1995
"27 , Srabon (Shraban) 1402",13/08/1995
"28 , Srabon (Shraban) 1402",14/08/1995
"29 , Srabon (Shraban) 1402",15/08/1995
"30 , Srabon (Shraban) 1402",16/08/1995
"31 , Srabon (Shraban) 1402",17/08/1995
"1 , Bhadro (Bhadra) 1402",18/08/1995
"2 , Bhadro (Bhadra) 1402",19/08/1995
"3 , Bhadro (Bhadra) 1402",20/08/1995
"4 , Bhadro (Bhadra) 1402",21/08/1995
"5 , Bhadro (Bhadra) 1402",22/08/1995
"6 , Bhadro (Bhadra) 1402",23/08/1995
"7 , Bhadro (Bhadra) 1402",24/08/1995
"8 , Bhadro (Bhadra) 1402",25/08/1995
"9 , Bhadro (Bhadra) 1402",26/08/1995
"10 , Bhadro (Bhadra) 1402",27/08/1995
"11 , Bhadro (Bhadra) 1402",28/08/1995
"12 , Bhadro (Bhadra) 1402",29/08/1995
"13 , Bhadro (Bhadra) 1402",30/08/1995
"14 , Bhadro (Bhadra) 1402",31/08/1995
"15 , Bhadro (Bhadra) 1402",01/09/1995
"16 , Bhadro (Bhadra) 1402",02/09/1995
"17 , Bhadro (Bhadra) 1402",03/09/1995
"18 , Bhadro (Bhadra) 1402",04/09/1995
"19 , Bhadro (Bhadra) 1402",05/09/1995
"20 , Bhadro (Bhadra) 1402",06/09/1995
"21 , Bhadro (Bhadra) 1402",07/09/1995
"22 , Bhadro (Bhadra) 1402",08/09/1995
"23 , Bhadro (Bhadra) 1402",09/09/1995
"24 , Bhadro (Bhadra) 1402",10/09/1995
"25 , Bhadro (Bhadra) 1402",11/09/1995
"26 , Bhadro (Bhadra) 1402",12/09/1995
"27 , Bhadro (Bhadra) 1402",13/09/1995
"28 , Bhadro (Bhadra) 1402",14/09/1995
"29 , Bhadro (Bhadra) 1402",15/09/1995
"30 , Bhadro (Bhadra) 1402",16/09/1995
"31 , Bhadro (Bhadra) 1402",17/09/1995
"1 , Ashshin (Aashin) 1402",18/09/1995
"2 , Ashshin (Aashin) 1402",19/09/1995
"3 , Ashshin (Aashin) 1402",20/09/1995
"4 , Ashshin (Aashin) 1402",21/09/1995
"5 , Ashshin (Aashin) 1402",22/09/1995
"6 , Ashshin (Aashin) 1402",23/09/1995
"7 , Ashshin (Aashin) 1402",24/09/1995
"8 , Ashshin (Aashin) 1402",25/09/1995
"9 , Ashshin (Aashin) 1402",26/09/1995
"10 , Ashshin (Aashin) 1402",27/09/1995
"11 , Ashshin (Aashin) 1402",28/09/1995
"12 , Ashshin (Aashin) 1402",29/09/1995
"13 , Ashshin (Aashin) 1402",30/09/1995
"14 , Ashshin (Aashin) 1402",01/10/1995
"15 , Ashshin (Aashin) 1402",02/10/1995
"16 , Ashshin (Aashin) 1402",03/10/1995
"17 , Ashshin (Aashin) 1402",04/10/1995
"18 , Ashshin (Aashin) 1402",05/10/1995
"19 , Ashshin (Aashin) 1402",06/10/1995
"20 , Ashshin (Aashin) 1402",07/10/1995
"21 , Ashshin (Aashin) 1402",08/10/1995
"22 , Ashshin (Aashin) 1402",09/10/1995
"23 , Ashshin (Aashin) 1402",10/10/1995
"24 , Ashshin (Aashin) 1402",11/10/1995
"25 , Ashshin (Aashin) 1402",12/10/1995
"26 , Ashshin (Aashin) 1402",13/10/1995
"27 , Ashshin (Aashin) 1402",14/10/1995
"28 , Ashshin (Aashin) 1402",15/10/1995
"29 , Ashshin (Aashin) 1402",16/10/1995
"30 , Ashshin (Aashin) 1402",17/10/1995
"1 , Kartik 1402",18/10/1995
"2 , Kartik 1402",19/10/1995
"3 , Kartik 1402",20/10/1995
"4 , Kartik 1402",21/10/1995
"5 , Kartik 1402",22/10/1995
"6 , Kartik 1402",23/10/1995
"7 , Kartik 1402",24/10/1995
"8 , Kartik 1402",25/10/1995
"9 , Kartik 1402",26/10/1995
"10 , Kartik 1402",27/10/1995
"11 , Kartik 1402",28/10/1995
"12 , Kartik 1402",29/10/1995
"13 , Kartik 1402",30/10/1995
"14 , Kartik 1402",31/10/1995
"15 , Kartik 1402",01/11/1995
"16 , Kartik 1402",02/11/1995
"17 , Kartik 1402",03/11/1995
"18 , Kartik 1402",04/11/1995
"19 , Kartik 1402",05/11/1995
"20 , Kartik 1402",06/11/1995
"21 , Kartik 1402",07/11/1995
"22 , Kartik 1402",08/11/1995
"23 , Kartik 1402",09/11/1995
"24 , Kartik 1402",10/11/1995
"25 , Kartik 1402",11/11/1995
"26 , Kartik 1402",12/11/1995
"27 , Kartik 1402",13/11/1995
"28 , Kartik 1402",14/11/1995
"29 , Kartik 1402",15/11/1995
"30 , Kartik 1402",16/11/1995
"1 , Ogrohaeon (Agrahan) 1402",17/11/1995
"2 , Ogrohaeon (Agrahan) 1402",18/11/1995
"3 , Ogrohaeon (Agrahan) 1402",19/11/1995
"4 , Ogrohaeon (Agrahan) 1402",20/11/1995
"5 , Ogrohaeon (Agrahan) 1402",21/11/1995
"6 , Ogrohaeon (Agrahan) 1402",22/11/1995
"7 , Ogrohaeon (Agrahan) 1402",23/11/1995
"8 , Ogrohaeon (Agrahan) 1402",24/11/1995
"9 , Ogrohaeon (Agrahan) 1402",25/11/1995
"10 , Ogrohaeon (Agrahan) 1402",26/11/1995
"11 , Ogrohaeon (Agrahan) 1402",27/11/1995
"12 , Ogrohaeon (Agrahan) 1402",28/11/1995
"13 , Ogrohaeon (Agrahan) 1402",29/11/1995
"14 , Ogrohaeon (Agrahan) 1402",30/11/1995
"15 , Ogrohaeon (Agrahan) 1402",01/12/1995
"16 , Ogrohaeon (Agrahan) 1402",02/12/1995
"17 , Ogrohaeon (Agrahan) 1402",03/12/1995
"18 , Ogrohaeon (Agrahan) 1402",04/12/1995
"19 , Ogrohaeon (Agrahan) 1402",05/12/1995
"20 , Ogrohaeon (Agrahan) 1402",06/12/1995
"21 , Ogrohaeon (Agrahan) 1402",07/12/1995
"22 , Ogrohaeon (Agrahan) 1402",08/12/1995
"23 , Ogrohaeon (Agrahan) 1402",09/12/1995
"24 , Ogrohaeon (Agrahan) 1402",10/12/1995
"25 , Ogrohaeon (Agrahan) 1402",11/12/1995
"26 , Ogrohaeon (Agrahan) 1402",12/12/1995
"27 , Ogrohaeon (Agrahan) 1402",13/12/1995
"28 , Ogrohaeon (Agrahan) 1402",14/12/1995
"29 , Ogrohaeon (Agrahan) 1402",15/12/1995
"30 , Ogrohaeon (Agrahan) 1402",16/12/1995
"1 , Poush 1402",17/12/1995
"2 , Poush 1402",18/12/1995
"3 , Poush 1402",19/12/1995
"4 , Poush 1402",20/12/1995
"5 , Poush 1402",21/12/1995
"6 , Poush 1402",22/12/1995
"7 , Poush 1402",23/12/1995
"8 , Poush 1402",24/12/1995
"9 , Poush 1402",25/12/1995
"10 , Poush 1402",26/12/1995
"11 , Poush 1402",27/12/1995
"12 , Poush 1402",28/12/1995
"13 , Poush 1402",29/12/1995
"14 , Poush 1402",30/12/1995
"15 , Poush 1402",31/12/1995
"16 , Poush 1402",01/01/1996
"17 , Poush 1402",02/01/1996
"18 , Poush 1402",03/01/1996
"19 , Poush 1402",04/01/1996
"20 , Poush 1402",05/01/1996
"21 , Poush 1402",06/01/1996
"22 , Poush 1402",07/01/1996
"23 , Poush 1402",08/01/1996
"24 , Poush 1402",09/01/1996
"25 , Poush 1402",10/01/1996
"26 , Poush 1402",11/01/1996
"27 , Poush 1402",12/01/1996
"28 , Poush 1402",13/01/1996
"29 , Poush 1402",14/01/1996
"1 , Magh (Maagh) 1403",15/01/1996
"2 , Magh (Maagh) 1403",16/01/1996
"3 , Magh (Maagh) 1403",17/01/1996
"4 , Magh (Maagh) 1403",18/01/1996
"5 , Magh (Maagh) 1403",19/01/1996
"6 , Magh (Maagh) 1403",20/01/1996
"7 , Magh (Maagh) 1403",21/01/1996
"8 , Magh (Maagh) 1403",22/01/1996
"9 , Magh (Maagh) 1403",23/01/1996
"10 , Magh (Maagh) 1403",24/01/1996
"11 , Magh (Maagh) 1403",25/01/1996
"12 , Magh (Maagh) 1403",26/01/1996
"13 , Magh (Maagh) 1403",27/01/1996
"14 , Magh (Maagh) 1403",28/01/1996
"15 , Magh (Maagh) 1403",29/01/1996
"16 , Magh (Maagh) 1403",30/01/1996
"17 , Magh (Maagh) 1403",31/01/1996
"18 , Magh (Maagh) 1403",01/02/1996
"19 , Magh (Maagh) 1403",02/02/1996
"20 , Magh (Maagh) 1403",03/02/1996
"21 , Magh (Maagh) 1403",04/02/1996
"22 , Magh (Maagh) 1403",05/02/1996
"23 , Magh (Maagh) 1403",06/02/1996
"24 , Magh (Maagh) 1403",07/02/1996
"25 , Magh (Maagh) 1403",08/02/1996
"26 , Magh (Maagh) 1403",09/02/1996
"27 , Magh (Maagh) 1403",10/02/1996
"28 , Magh (Maagh) 1403",11/02/1996
"29 , Magh (Maagh) 1403",12/02/1996
"30 , Magh (Maagh) 1403",13/02/1996
"1 , Falgun (Phalgun) 1403",14/02/1996
"2 , Falgun (Phalgun) 1403",15/02/1996
"3 , Falgun (Phalgun) 1403",16/02/1996
"4 , Falgun (Phalgun) 1403",17/02/1996
"5 , Falgun (Phalgun) 1403",18/02/1996
"6 , Falgun (Phalgun) 1403",19/02/1996
"7 , Falgun (Phalgun) 1403",20/02/1996
"8 , Falgun (Phalgun) 1403",21/02/1996
"9 , Falgun (Phalgun) 1403",22/02/1996
"10 , Falgun (Phalgun) 1403",23/02/1996
"11 , Falgun (Phalgun) 1403",24/02/1996
"12 , Falgun (Phalgun) 1403",25/02/1996
"13 , Falgun (Phalgun) 1403",26/02/1996
"14 , Falgun (Phalgun) 1403",27/02/1996
"15 , Falgun (Phalgun) 1403",28/02/1996
"16 , Falgun (Phalgun) 1403",29/02/1996
"17 , Falgun (Phalgun) 1403",01/03/1996
"18 , Falgun (Phalgun) 1403",02/03/1996
"19 , Falgun (Phalgun) 1403",03/03/1996
"20 , Falgun (Phalgun) 1403",04/03/1996
"21 , Falgun (Phalgun) 1403",05/03/1996
"22 , Falgun (Phalgun) 1403",06/03/1996
"23 , Falgun (Phalgun) 1403",07/03/1996
"24 , Falgun (Phalgun) 1403",08/03/1996
"25 , Falgun (Phalgun) 1403",09/03/1996
"26 , Falgun (Phalgun) 1403",10/03/1996
"27 , Falgun (Phalgun) 1403",11/03/1996
"28 , Falgun (Phalgun) 1403",12/03/1996
"29 , Falgun (Phalgun) 1403",13/03/1996
"30 , Falgun (Phalgun) 1403",14/03/1996
"1 , Choitro (Chaitra) 1403",15/03/1996
"2 , Choitro (Chaitra) 1403",16/03/1996
"3 , Choitro (Chaitra) 1403",17/03/1996
"4 , Choitro (Chaitra) 1403",18/03/1996
"5 , Choitro (Chaitra) 1403",19/03/1996
"6 , Choitro (Chaitra) 1403",20/03/1996
"7 , Choitro (Chaitra) 1403",21/03/1996
"8 , Choitro (Chaitra) 1403",22/03/1996
"9 , Choitro (Chaitra) 1403",23/03/1996
"10 , Choitro (Chaitra) 1403",24/03/1996
"11 , Choitro (Chaitra) 1403",25/03/1996
"12 , Choitro (Chaitra) 1403",26/03/1996
"13 , Choitro (Chaitra) 1403",27/03/1996
"14 , Choitro (Chaitra) 1403",28/03/1996
"15 , Choitro (Chaitra) 1403",29/03/1996
"16 , Choitro (Chaitra) 1403",30/03/1996
"17 , Choitro (Chaitra) 1403",31/03/1996
"18 , Choitro (Chaitra) 1403",01/04/1996
"19 , Choitro (Chaitra) 1403",02/04/1996
"20 , Choitro (Chaitra) 1403",03/04/1996
"21 , Choitro (Chaitra) 1403",04/04/1996
"22 , Choitro (Chaitra) 1403",05/04/1996
"23 , Choitro (Chaitra) 1403",06/04/1996
"24 , Choitro (Chaitra) 1403",07/04/1996
"25 , Choitro (Chaitra) 1403",08/04/1996
"26 , Choitro (Chaitra) 1403",09/04/1996
"27 , Choitro (Chaitra) 1403",10/04/1996
"28 , Choitro (Chaitra) 1403",11/04/1996
"29 , Choitro (Chaitra) 1403",12/04/1996
"30 , Choitro (Chaitra) 1403",13/04/1996
"1 , Boishakh (Baisakh) 1403",14/04/1996
"2 , Boishakh (Baisakh) 1403",15/04/1996
"3 , Boishakh (Baisakh) 1403",16/04/1996
"4 , Boishakh (Baisakh) 1403",17/04/1996
"5 , Boishakh (Baisakh) 1403",18/04/1996
"6 , Boishakh (Baisakh) 1403",19/04/1996
