gujarati_date,gregorian_date
20 Jyeshta_Adhik 2036,"Jun 03, 1980"
21 Jyeshta_Adhik 2036,"Jun 04, 1980"
22 Jyeshta_Adhik 2036,"Jun 05, 1980"
23 Jyeshta_Adhik 2036,"Jun 06, 1980"
24 Jyeshta_Adhik 2036,"Jun 07, 1980"
25 Jyeshta_Adhik 2036,"Jun 08, 1980"
26 Jyeshta_Adhik 2036,"Jun 09, 1980"
27 Jyeshta_Adhik 2036,"Jun 10, 1980"
28 Jyeshta_Adhik 2036,"Jun 11, 1980"
29 Jyeshta_Adhik 2036,"Jun 12, 1980"
1 Jyeshta 2036,"Jun 13, 1980"
2 Jyeshta 2036,"Jun 14, 1980"
3 Jyeshta 2036,"Jun 15, 1980"
4 Jyeshta 2036,"Jun 16, 1980"
5 Jyeshta 2036,"Jun 17, 1980"
6 Jyeshta 2036,"Jun 18, 1980"
7 Jyeshta 2036,"Jun 19, 1980"
8 Jyeshta 2036,"Jun 20, 1980"
9 Jyeshta 2036,"Jun 21, 1980"
10 Jyeshta 2036,"Jun 22, 1980"
11 Jyeshta 2036,"Jun 23, 1980"
12 Jyeshta 2036,"Jun 24, 1980"
13 Jyeshta 2036,"Jun 25, 1980"
14 Jyeshta 2036,"Jun 26, 1980"
15 Jyeshta 2036,"Jun 27, 1980"
16 Jyeshta 2036,"Jun 28, 1980"
17 Jyeshta 2036,"Jun 29, 1980"
18 Jyeshta 2036,"Jun 30, 1980"
19 Jyeshta 2036,"Jul 01, 1980"
20 Jyeshta 2036,"Jul 02, 1980"
21 Jyeshta 2036,"Jul 03, 1980"
22 Jyeshta 2036,"Jul 04, 1980"
23 Jyeshta 2036,"Jul 05, 1980"
24 Jyeshta 2036,"Jul 06, 1980"
25 Jyeshta 2036,"Jul 07, 1980"
26 Jyeshta 2036,"Jul 08, 1980"
27 Jyeshta 2036,"Jul 09, 1980"
28 Jyeshta 2036,"Jul 10, 1980"
29 Jyeshta 2036,"Jul 11, 1980"
30 Jyeshta 2036,"Jul 12, 1980"
1 Ashadha 2036,"Jul 13, 1980"
2 Ashadha 2036,"Jul 14, 1980"
3 Ashadha 2036,"Jul 15, 1980"
4 Ashadha 2036,"Jul 16, 1980"
5 Ashadha 2036,"Jul 17, 1980"
6 Ashadha 2036,"Jul 18, 1980"
7 Ashadha 2036,"Jul 19, 1980"
8 Ashadha 2036,"Jul 20, 1980"
9 Ashadha 2036,"Jul 21, 1980"
10 Ashadha 2036,"Jul 22, 1980"
11 Ashadha 2036,"Jul 23, 1980"
12 Ashadha 2036,"Jul 24, 1980"
13 Ashadha 2036,"Jul 25, 1980"
14 Ashadha 2036,"Jul 26, 1980"
15 Ashadha 2036,"Jul 27, 1980"
16 Ashadha 2036,"Jul 28, 1980"
17 Ashadha 2036,"Jul 29, 1980"
18 Ashadha 2036,"Jul 30, 1980"
19 Ashadha 2036,"Jul 31, 1980"
20 Ashadha 2036,"Aug 01, 1980"
21 Ashadha 2036,"Aug 02, 1980"
22 Ashadha 2036,"Aug 03, 1980"
23 Ashadha 2036,"Aug 04, 1980"
24 Ashadha 2036,"Aug 05, 1980"
25 Ashadha 2036,"Aug 06, 1980"
26 Ashadha 2036,"Aug 07, 1980"
27 Ashadha 2036,"Aug 08, 1980"
28 Ashadha 2036,"Aug 09, 1980"
29 Ashadha 2036,"Aug 10, 1980"
1 Shravana 2036,"Aug 11, 1980"
2 Shravana 2036,"Aug 12, 1980"
3 Shravana 2036,"Aug 13, 1980"
4 Shravana 2036,"Aug 14, 1980"
5 Shravana 2036,"Aug 15, 1980"
6 Shravana 2036,"Aug 16, 1980"
7 Shravana 2036,"Aug 17, 1980"
8 Shravana 2036,"Aug 18, 1980"
9 Shravana 2036,"Aug 19, 1980"
10 Shravana 2036,"Aug 20, 1980"
11 Shravana 2036,"Aug 21, 1980"
12 Shravana 2036,"Aug 22, 1980"
13 Shravana 2036,"Aug 23, 1980"
14 Shravana 2036,"Aug 24, 1980"
15 Shravana 2036,"Aug 25, 1980"
16 Shravana 2036,"Aug 26, 1980"
17 Shravana 2036,"Aug 27, 1980"
18 Shravana 2036,"Aug 28, 1980"
19 Shravana 2036,"Aug 29, 1980"
20 Shravana 2036,"Aug 30, 1980"
21 Shravana 2036,"Aug 31, 1980"
22 Shravana 2036,"Sep 01, 1980"
23 Shravana 2036,"Sep 02, 1980"
24 Shravana 2036,"Sep 03, 1980"
25 Shravana 2036,"Sep 04, 1980"
26 Shravana 2036,"Sep 05, 1980"
27 Shravana 2036,"Sep 06, 1980"
28 Shravana 2036,"Sep 07, 1980"
29 Shravana 2036,"Sep 08, 1980"
30 Shravana 2036,"Sep 09, 1980"
1 Bhadarvo 2036,"Sep 10, 1980"
2 Bhadarvo 2036,"Sep 11, 1980"
3 Bhadarvo 2036,"Sep 12, 1980"
4 Bhadarvo 2036,"Sep 13, 1980"
5 Bhadarvo 2036,"Sep 14, 1980"
6 Bhadarvo 2036,"Sep 15, 1980"
7 Bhadarvo 2036,"Sep 16, 1980"
8 Bhadarvo 2036,"Sep 17, 1980"
9 Bhadarvo 2036,"Sep 18, 1980"
10 Bhadarvo 2036,"Sep 19, 1980"
11 Bhadarvo 2036,"Sep 20, 1980"
12 Bhadarvo 2036,"Sep 21, 1980"
13 Bhadarvo 2036,"Sep 22, 1980"
14 Bhadarvo 2036,"Sep 23, 1980"
15 Bhadarvo 2036,"Sep 24, 1980"
16 Bhadarvo 2036,"Sep 25, 1980"
17 Bhadarvo 2036,"Sep 26, 1980"
18 Bhadarvo 2036,"Sep 27, 1980"
19 Bhadarvo 2036,"Sep 28, 1980"
20 Bhadarvo 2036,"Sep 29, 1980"
21 Bhadarvo 2036,"Sep 30, 1980"
22 Bhadarvo 2036,"Oct 01, 1980"
23 Bhadarvo 2036,"Oct 02, 1980"
24 Bhadarvo 2036,"Oct 03, 1980"
25 Bhadarvo 2036,"Oct 04, 1980"
26 Bhadarvo 2036,"Oct 05, 1980"
27 Bhadarvo 2036,"Oct 06, 1980"
28 Bhadarvo 2036,"Oct 07, 1980"
29 Bhadarvo 2036,"Oct 08, 1980"
30 Bhadarvo 2036,"Oct 09, 1980"
1 Aaso 2036,"Oct 10, 1980"
2 Aaso 2036,"Oct 11, 1980"
3 Aaso 2036,"Oct 12, 1980"
4 Aaso 2036,"Oct 13, 1980"
5 Aaso 2036,"Oct 14, 1980"
6 Aaso 2036,"Oct 15, 1980"
7 Aaso 2036,"Oct 16, 1980"
8 Aaso 2036,"Oct 17, 1980"
9 Aaso 2036,"Oct 18, 1980"
10 Aaso 2036,"Oct 19, 1980"
11 Aaso 2036,"Oct 20, 1980"
12 Aaso 2036,"Oct 21, 1980"
13 Aaso 2036,"Oct 22, 1980"
14 Aaso 2036,"Oct 23, 1980"
15 Aaso 2036,"Oct 24, 1980"
16 Aaso 2036,"Oct 25, 1980"
17 Aaso 2036,"Oct 26, 1980"
18 Aaso 2036,"Oct 27, 1980"
19 Aaso 2036,"Oct 28, 1980"
20 Aaso 2036,"Oct 29, 1980"
21 Aaso 2036,"Oct 30, 1980"
22 Aaso 2036,"Oct 31, 1980"
23 Aaso 2036,"Nov 01, 1980"
24 Aaso 2036,"Nov 02, 1980"
25 Aaso 2036,"Nov 03, 1980"
26 Aaso 2036,"Nov 04, 1980"
27 Aaso 2036,"Nov 05, 1980"
28 Aaso 2036,"Nov 06, 1980"
29 Aaso 2036,"Nov 07, 1980"
1 Kartak 2036,"Nov 08, 1980"
2 Kartak 2036,"Nov 09, 1980"
3 Kartak 2036,"Nov 10, 1980"
4 Kartak 2036,"Nov 11, 1980"
5 Kartak 2036,"Nov 12, 1980"
6 Kartak 2036,"Nov 13, 1980"
7 Kartak 2036,"Nov 14, 1980"
8 Kartak 2036,"Nov 15, 1980"
9 Kartak 2036,"Nov 16, 1980"
10 Kartak 2036,"Nov 17, 1980"
11 Kartak 2036,"Nov 18, 1980"
12 Kartak 2036,"Nov 19, 1980"
13 Kartak 2036,"Nov 20, 1980"
14 Kartak 2036,"Nov 21, 1980"
15 Kartak 2036,"Nov 22, 1980"
16 Kartak 2036,"Nov 23, 1980"
17 Kartak 2036,"Nov 24, 1980"
18 Kartak 2036,"Nov 25, 1980"
19 Kartak 2036,"Nov 26, 1980"
20 Kartak 2036,"Nov 27, 1980"
21 Kartak 2036,"Nov 28, 1980"
22 Kartak 2036,"Nov 29, 1980"
23 Kartak 2036,"Nov 30, 1980"
24 Kartak 2036,"Dec 01, 1980"
25 Kartak 2036,"Dec 02, 1980"
26 Kartak 2036,"Dec 03, 1980"
27 Kartak 2036,"Dec 04, 1980"
28 Kartak 2036,"Dec 05, 1980"
29 Kartak 2036,"Dec 06, 1980"
30 Kartak 2036,"Dec 07, 1980"
1 Magasar 2036,"Dec 08, 1980"
2 Magasar 2036,"Dec 09, 1980"
3 Magasar 2036,"Dec 10, 1980"
4 Magasar 2036,"Dec 11, 1980"
5 Magasar 2036,"Dec 12, 1980"
6 Magasar 2036,"Dec 13, 1980"
7 Magasar 2036,"Dec 14, 1980"
8 Magasar 2036,"Dec 15, 1980"
9 Magasar 2036,"Dec 16, 1980"
10 Magasar 2036,"Dec 17, 1980"
11 Magasar 2036,"Dec 18, 1980"
12 Magasar 2036,"Dec 19, 1980"
13 Magasar 2036,"Dec 20, 1980"
14 Magasar 2036,"Dec 21, 1980"
15 Magasar 2036,"Dec 22, 1980"
16 Magasar 2036,"Dec 23, 1980"
17 Magasar 2036,"Dec 24, 1980"
18 Magasar 2036,"Dec 25, 1980"
19 Magasar 2036,"Dec 26, 1980"
20 Magasar 2036,"Dec 27, 1980"
21 Magasar 2036,"Dec 28, 1980"
22 Magasar 2036,"Dec 29, 1980"
23 Magasar 2036,"Dec 30, 1980"
24 Magasar 2036,"Dec 31, 1980"
25 Magasar 2036,"Jan 01, 1981"
26 Magasar 2036,"Jan 02, 1981"
27 Magasar 2036,"Jan 03, 1981"
28 Magasar 2036,"Jan 04, 1981"
29 Magasar 2036,"Jan 05, 1981"
30 Magasar 2036,"Jan 06, 1981"
1 Posh 2036,"Jan 07, 1981"
2 Posh 2036,"Jan 08, 1981"
3 Posh 2036,"Jan 09, 1981"
