gujarati_date,gregorian_date
8 Shravana 2049,"Jul 27, 1993"
9 Shravana 2049,"Jul 28, 1993"
10 Shravana 2049,"Jul 29, 1993"
11 Shravana 2049,"Jul 30, 1993"
12 Shravana 2049,"Jul 31, 1993"
13 Shravana 2049,"Aug 01, 1993"
14 Shravana 2049,"Aug 02, 1993"
15 Shravana 2049,"Aug 03, 1993"
16 Shravana 2049,"Aug 04, 1993"
17 Shravana 2049,"Aug 05, 1993"
18 Shravana 2049,"Aug 06, 1993"
19 Shravana 2049,"Aug 07, 1993"
20 Shravana 2049,"Aug 08, 1993"
21 Shravana 2049,"Aug 09, 1993"
22 Shravana 2049,"Aug 10, 1993"
23 Shravana 2049,"Aug 11, 1993"
24 Shravana 2049,"Aug 12, 1993"
25 Shravana 2049,"Aug 13, 1993"
26 Shravana 2049,"Aug 14, 1993"
27 Shravana 2049,"Aug 15, 1993"
28 Shravana 2049,"Aug 16, 1993"
29 Shravana 2049,"Aug 17, 1993"
1 Bhadarvo_Adhik 2049,"Aug 18, 1993"
2 Bhadarvo_Adhik 2049,"Aug 19, 1993"
3 Bhadarvo_Adhik 2049,"Aug 20, 1993"
4 Bhadarvo_Adhik 2049,"Aug 21, 1993"
5 Bhadarvo_Adhik 2049,"Aug 22, 1993"
6 Bhadarvo_Adhik 2049,"Aug 23, 1993"
7 Bhadarvo_Adhik 2049,"Aug 24, 1993"
8 Bhadarvo_Adhik 2049,"Aug 25, 1993"
9 Bhadarvo_Adhik 2049,"Aug 26, 1993"
10 Bhadarvo_Adhik 2049,"Aug 27, 1993"
11 Bhadarvo_Adhik 2049,"Aug 28, 1993"
12 Bhadarvo_Adhik 2049,"Aug 29, 1993"
13 Bhadarvo_Adhik 2049,"Aug 30, 1993"
14 Bhadarvo_Adhik 2049,"Aug 31, 1993"
15 Bhadarvo_Adhik 2049,"Sep 01, 1993"
16 Bhadarvo_Adhik 2049,"Sep 02, 1993"
17 Bhadarvo_Adhik 2049,"Sep 03, 1993"
18 Bhadarvo_Adhik 2049,"Sep 04, 1993"
19 Bhadarvo_Adhik 2049,"Sep 05, 1993"
20 Bhadarvo_Adhik 2049,"Sep 06, 1993"
21 Bhadarvo_Adhik 2049,"Sep 07, 1993"
22 Bhadarvo_Adhik 2049,"Sep 08, 1993"
23 Bhadarvo_Adhik 2049,"Sep 09, 1993"
24 Bhadarvo_Adhik 2049,"Sep 10, 1993"
25 Bhadarvo_Adhik 2049,"Sep 11, 1993"
26 Bhadarvo_Adhik 2049,"Sep 12, 1993"
27 Bhadarvo_Adhik 2049,"Sep 13, 1993"
28 Bhadarvo_Adhik 2049,"Sep 14, 1993"
29 Bhadarvo_Adhik 2049,"Sep 15, 1993"
30 Bhadarvo_Adhik 2049,"Sep 16, 1993"
1 Bhadarvo 2049,"Sep 17, 1993"
2 Bhadarvo 2049,"Sep 18, 1993"
3 Bhadarvo 2049,"Sep 19, 1993"
4 Bhadarvo 2049,"Sep 20, 1993"
5 Bhadarvo 2049,"Sep 21, 1993"
6 Bhadarvo 2049,"Sep 22, 1993"
7 Bhadarvo 2049,"Sep 23, 1993"
8 Bhadarvo 2049,"Sep 24, 1993"
9 Bhadarvo 2049,"Sep 25, 1993"
10 Bhadarvo 2049,"Sep 26, 1993"
11 Bhadarvo 2049,"Sep 27, 1993"
12 Bhadarvo 2049,"Sep 28, 1993"
13 Bhadarvo 2049,"Sep 29, 1993"
14 Bhadarvo 2049,"Sep 30, 1993"
15 Bhadarvo 2049,"Oct 01, 1993"
16 Bhadarvo 2049,"Oct 02, 1993"
17 Bhadarvo 2049,"Oct 03, 1993"
18 Bhadarvo 2049,"Oct 04, 1993"
19 Bhadarvo 2049,"Oct 05, 1993"
20 Bhadarvo 2049,"Oct 06, 1993"
21 Bhadarvo 2049,"Oct 07, 1993"
22 Bhadarvo 2049,"Oct 08, 1993"
23 Bhadarvo 2049,"Oct 09, 1993"
24 Bhadarvo 2049,"Oct 10, 1993"
25 Bhadarvo 2049,"Oct 11, 1993"
26 Bhadarvo 2049,"Oct 12, 1993"
27 Bhadarvo 2049,"Oct 13, 1993"
28 Bhadarvo 2049,"Oct 14, 1993"
29 Bhadarvo 2049,"Oct 15, 1993"
1 Aaso 2049,"Oct 16, 1993"
2 Aaso 2049,"Oct 17, 1993"
3 Aaso 2049,"Oct 18, 1993"
4 Aaso 2049,"Oct 19, 1993"
5 Aaso 2049,"Oct 20, 1993"
6 Aaso 2049,"Oct 21, 1993"
7 Aaso 2049,"Oct 22, 1993"
8 Aaso 2049,"Oct 23, 1993"
9 Aaso 2049,"Oct 24, 1993"
10 Aaso 2049,"Oct 25, 1993"
11 Aaso 2049,"Oct 26, 1993"
12 Aaso 2049,"Oct 27, 1993"
13 Aaso 2049,"Oct 28, 1993"
14 Aaso 2049,"Oct 29, 1993"
15 Aaso 2049,"Oct 30, 1993"
16 Aaso 2049,"Oct 31, 1993"
17 Aaso 2049,"Nov 01, 1993"
18 Aaso 2049,"Nov 02, 1993"
19 Aaso 2049,"Nov 03, 1993"
20 Aaso 2049,"Nov 04, 1993"
21 Aaso 2049,"Nov 05, 1993"
22 Aaso 2049,"Nov 06, 1993"
23 Aaso 2049,"Nov 07, 1993"
24 Aaso 2049,"Nov 08, 1993"
25 Aaso 2049,"Nov 09, 1993"
26 Aaso 2049,"Nov 10, 1993"
27 Aaso 2049,"Nov 11, 1993"
28 Aaso 2049,"Nov 12, 1993"
29 Aaso 2049,"Nov 13, 1993"
1 Kartak 2049,"Nov 14, 1993"
2 Kartak 2049,"Nov 15, 1993"
3 Kartak 2049,"Nov 16, 1993"
4 Kartak 2049,"Nov 17, 1993"
5 Kartak 2049,"Nov 18, 1993"
6 Kartak 2049,"Nov 19, 1993"
7 Kartak 2049,"Nov 20, 1993"
8 Kartak 2049,"Nov 21, 1993"
9 Kartak 2049,"Nov 22, 1993"
10 Kartak 2049,"Nov 23, 1993"
11 Kartak 2049,"Nov 24, 1993"
12 Kartak 2049,"Nov 25, 1993"
13 Kartak 2049,"Nov 26, 1993"
14 Kartak 2049,"Nov 27, 1993"
15 Kartak 2049,"Nov 28, 1993"
16 Kartak 2049,"Nov 29, 1993"
17 Kartak 2049,"Nov 30, 1993"
18 Kartak 2049,"Dec 01, 1993"
19 Kartak 2049,"Dec 02, 1993"
20 Kartak 2049,"Dec 03, 1993"
21 Kartak 2049,"Dec 04, 1993"
22 Kartak 2049,"Dec 05, 1993"
23 Kartak 2049,"Dec 06, 1993"
24 Kartak 2049,"Dec 07, 1993"
25 Kartak 2049,"Dec 08, 1993"
26 Kartak 2049,"Dec 09, 1993"
27 Kartak 2049,"Dec 10, 1993"
28 Kartak 2049,"Dec 11, 1993"
29 Kartak 2049,"Dec 12, 1993"
30 Kartak 2049,"Dec 13, 1993"
1 Magasar 2049,"Dec 14, 1993"
2 Magasar 2049,"Dec 15, 1993"
3 Magasar 2049,"Dec 16, 1993"
4 Magasar 2049,"Dec 17, 1993"
5 Magasar 2049,"Dec 18, 1993"
6 Magasar 2049,"Dec 19, 1993"
7 Magasar 2049,"Dec 20, 1993"
8 Magasar 2049,"Dec 21, 1993"
9 Magasar 2049,"Dec 22, 1993"
10 Magasar 2049,"Dec 23, 1993"
11 Magasar 2049,"Dec 24, 1993"
12 Magasar 2049,"Dec 25, 1993"
13 Magasar 2049,"Dec 26, 1993"
14 Magasar 2049,"Dec 27, 1993"
15 Magasar 2049,"Dec 28, 1993"
16 Magasar 2049,"Dec 29, 1993"
17 Magasar 2049,"Dec 30, 1993"
18 Magasar 2049,"Dec 31, 1993"
19 Magasar 2049,"Jan 01, 1994"
20 Magasar 2049,"Jan 02, 1994"
21 Magasar 2049,"Jan 03, 1994"
22 Magasar 2049,"Jan 04, 1994"
23 Magasar 2049,"Jan 05, 1994"
24 Magasar 2049,"Jan 06, 1994"
25 Magasar 2049,"Jan 07, 1994"
26 Magasar 2049,"Jan 08, 1994"
27 Magasar 2049,"Jan 09, 1994"
28 Magasar 2049,"Jan 10, 1994"
29 Magasar 2049,"Jan 11, 1994"
1 Posh 2050,"Jan 12, 1994"
2 Posh 2050,"Jan 13, 1994"
3 Posh 2050,"Jan 14, 1994"
4 Posh 2050,"Jan 15, 1994"
5 Posh 2050,"Jan 16, 1994"
6 Posh 2050,"Jan 17, 1994"
7 Posh 2050,"Jan 18, 1994"
8 Posh 2050,"Jan 19, 1994"
9 Posh 2050,"Jan 20, 1994"
10 Posh 2050,"Jan 21, 1994"
11 Posh 2050,"Jan 22, 1994"
12 Posh 2050,"Jan 23, 1994"
13 Posh 2050,"Jan 24, 1994"
14 Posh 2050,"Jan 25, 1994"
15 Posh 2050,"Jan 26, 1994"
16 Posh 2050,"Jan 27, 1994"
17 Posh 2050,"Jan 28, 1994"
18 Posh 2050,"Jan 29, 1994"
19 Posh 2050,"Jan 30, 1994"
20 Posh 2050,"Jan 31, 1994"
21 Posh 2050,"Feb 01, 1994"
22 Posh 2050,"Feb 02, 1994"
23 Posh 2050,"Feb 03, 1994"
24 Posh 2050,"Feb 04, 1994"
25 Posh 2050,"Feb 05, 1994"
26 Posh 2050,"Feb 06, 1994"
27 Posh 2050,"Feb 07, 1994"
28 Posh 2050,"Feb 08, 1994"
29 Posh 2050,"Feb 09, 1994"
30 Posh 2050,"Feb 10, 1994"
1 Maha 2050,"Feb 11, 1994"
2 Maha 2050,"Feb 12, 1994"
3 Maha 2050,"Feb 13, 1994"
4 Maha 2050,"Feb 14, 1994"
5 Maha 2050,"Feb 15, 1994"
6 Maha 2050,"Feb 16, 1994"
7 Maha 2050,"Feb 17, 1994"
8 Maha 2050,"Feb 18, 1994"
9 Maha 2050,"Feb 19, 1994"
10 Maha 2050,"Feb 20, 1994"
11 Maha 2050,"Feb 21, 1994"
12 Maha 2050,"Feb 22, 1994"
13 Maha 2050,"Feb 23, 1994"
14 Maha 2050,"Feb 24, 1994"
15 Maha 2050,"Feb 25, 1994"
16 Maha 2050,"Feb 26, 1994"
17 Maha 2050,"Feb 27, 1994"
18 Maha 2050,"Feb 28, 1994"
19 Maha 2050,"Mar 01, 1994"
20 Maha 2050,"Mar 02, 1994"
21 Maha 2050,"Mar 03, 1994"
22 Maha 2050,"Mar 04, 1994"
23 Maha 2050,"Mar 05, 1994"
24 Maha 2050,"Mar 06, 1994"
25 Maha 2050,"Mar 07, 1994"
26 Maha 2050,"Mar 08, 1994"
27 Maha 2050,"Mar 09, 1994"
28 Maha 2050,"Mar 10, 1994"
29 Maha 2050,"Mar 11, 1994"
30 Maha 2050,"Mar 12, 1994"
1 Phaguna 2050,"Mar 13, 1994"
2 Phaguna 2050,"Mar 14, 1994"
3 Phaguna 2050,"Mar 15, 1994"
4 Phaguna 2050,"Mar 16, 1994"
5 Phaguna 2050,"Mar 17, 1994"
6 Phaguna 2050,"Mar 18, 1994"
7 Phaguna 2050,"Mar 19, 1994"
8 Phaguna 2050,"Mar 20, 1994"
9 Phaguna 2050,"Mar 21, 1994"
10 Phaguna 2050,"Mar 22, 1994"
11 Phaguna 2050,"Mar 23, 1994"
12 Phaguna 2050,"Mar 24, 1994"
13 Phaguna 2050,"Mar 25, 1994"
14 Phaguna 2050,"Mar 26, 1994"
15 Phaguna 2050,"Mar 27, 1994"
16 Phaguna 2050,"Mar 28, 1994"
17 Phaguna 2050,"Mar 29, 1994"
18 Phaguna 2050,"Mar 30, 1994"
19 Phaguna 2050,"Mar 31, 1994"
20 Phaguna 2050,"Apr 01, 1994"
21 Phaguna 2050,"Apr 02, 1994"
22 Phaguna 2050,"Apr 03, 1994"
23 Phaguna 2050,"Apr 04, 1994"
24 Phaguna 2050,"Apr 05, 1994"
25 Phaguna 2050,"Apr 06, 1994"
26 Phaguna 2050,"Apr 07, 1994"
27 Phaguna 2050,"Apr 08, 1994"
28 Phaguna 2050,"Apr 09, 1994"
29 Phaguna 2050,"Apr 10, 1994"
1 Chaitra 2050,"Apr 11, 1994"
2 Chaitra 2050,"Apr 12, 1994"
3 Chaitra 2050,"Apr 13, 1994"
4 Chaitra 2050,"Apr 14, 1994"
5 Chaitra 2050,"Apr 15, 1994"
6 Chaitra 2050,"Apr 16, 1994"
7 Chaitra 2050,"Apr 17, 1994"
8 Chaitra 2050,"Apr 18, 1994"
9 Chaitra 2050,"Apr 19, 1994"
10 Chaitra 2050,"Apr 20, 1994"
11 Chaitra 2050,"Apr 21, 1994"
12 Chaitra 2050,"Apr 22, 1994"
13 Chaitra 2050,"Apr 23, 1994"
14 Chaitra 2050,"Apr 24, 1994"
15 Chaitra 2050,"Apr 25, 1994"
16 Chaitra 2050,"Apr 26, 1994"
17 Chaitra 2050,"Apr 27, 1994"
18 Chaitra 2050,"Apr 28, 1994"
19 Chaitra 2050,"Apr 29, 1994"
20 Chaitra 2050,"Apr 30, 1994"
21 Chaitra 2050,"May 01, 1994"
22 Chaitra 2050,"May 02, 1994"
23 Chaitra 2050,"May 03, 1994"
24 Chaitra 2050,"May 04, 1994"
25 Chaitra 2050,"May 05, 1994"
26 Chaitra 2050,"May 06, 1994"
27 Chaitra 2050,"May 07, 1994"
28 Chaitra 2050,"May 08, 1994"
29 Chaitra 2050,"May 09, 1994"
30 Chaitra 2050,"May 10, 1994"
1 Vaishakha 2050,"May 11, 1994"
2 Vaishakha 2050,"May 12, 1994"
3 Vaishakha 2050,"May 13, 1994"
4 Vaishakha 2050,"May 14, 1994"
5 Vaishakha 2050,"May 15, 1994"
6 Vaishakha 2050,"May 16, 1994"
7 Vaishakha 2050,"May 17, 1994"
8 Vaishakha 2050,"May 18, 1994"
9 Vaishakha 2050,"May 19, 1994"
10 Vaishakha 2050,"May 20, 1994"
11 Vaishakha 2050,"May 21, 1994"
12 Vaishakha 2050,"May 22, 1994"
13 Vaishakha 2050,"May 23, 1994"
14 Vaishakha 2050,"May 24, 1994"
15 Vaishakha 2050,"May 25, 1994"
16 Vaishakha 2050,"May 26, 1994"
17 Vaishakha 2050,"May 27, 1994"
18 Vaishakha 2050,"May 28, 1994"
19 Vaishakha 2050,"May 29, 1994"
20 Vaishakha 2050,"May 30, 1994"
21 Vaishakha 2050,"May 31, 1994"
22 Vaishakha 2050,"Jun 01, 1994"
23 Vaishakha 2050,"Jun 02, 1994"
24 Vaishakha 2050,"Jun 03, 1994"
25 Vaishakha 2050,"Jun 04, 1994"
26 Vaishakha 2050,"Jun 05, 1994"
27 Vaishakha 2050,"Jun 06, 1994"
28 Vaishakha 2050,"Jun 07, 1994"
29 Vaishakha 2050,"Jun 08, 1994"
30 Vaishakha 2050,"Jun 09, 1994"
1 Jyeshta 2050,"Jun 10, 1994"
2 Jyeshta 2050,"Jun 11, 1994"
3 Jyeshta 2050,"Jun 12, 1994"
4 Jyeshta 2050,"Jun 13, 1994"
5 Jyeshta 2050,"Jun 14, 1994"
6 Jyeshta 2050,"Jun 15, 1994"
7 Jyeshta 2050,"Jun 16, 1994"
8 Jyeshta 2050,"Jun 17, 1994"
9 Jyeshta 2050,"Jun 18, 1994"
10 Jyeshta 2050,"Jun 19, 1994"
11 Jyeshta 2050,"Jun 20, 1994"
12 Jyeshta 2050,"Jun 21, 1994"
13 Jyeshta 2050,"Jun 22, 1994"
14 Jyeshta 2050,"Jun 23, 1994"
15 Jyeshta 2050,"Jun 24, 1994"
16 Jyeshta 2050,"Jun 25, 1994"
17 Jyeshta 2050,"Jun 26, 1994"
18 Jyeshta 2050,"Jun 27, 1994"
19 Jyeshta 2050,"Jun 28, 1994"
20 Jyeshta 2050,"Jun 29, 1994"
21 Jyeshta 2050,"Jun 30, 1994"
22 Jyeshta 2050,"Jul 01, 1994"
23 Jyeshta 2050,"Jul 02, 1994"
24 Jyeshta 2050,"Jul 03, 1994"
25 Jyeshta 2050,"Jul 04, 1994"
26 Jyeshta 2050,"Jul 05, 1994"
27 Jyeshta 2050,"Jul 06, 1994"
28 Jyeshta 2050,"Jul 07, 1994"
29 Jyeshta 2050,"Jul 08, 1994"
1 Ashadha 2050,"Jul 09, 1994"
2 Ashadha 2050,"Jul 10, 1994"
3 Ashadha 2050,"Jul 11, 1994"
4 Ashadha 2050,"Jul 12, 1994"
5 Ashadha 2050,"Jul 13, 1994"
6 Ashadha 2050,"Jul 14, 1994"
7 Ashadha 2050,"Jul 15, 1994"
8 Ashadha 2050,"Jul 16, 1994"
9 Ashadha 2050,"Jul 17, 1994"
10 Ashadha 2050,"Jul 18, 1994"
11 Ashadha 2050,"Jul 19, 1994"
12 Ashadha 2050,"Jul 20, 1994"
13 Ashadha 2050,"Jul 21, 1994"
14 Ashadha 2050,"Jul 22, 1994"
15 Ashadha 2050,"Jul 23, 1994"
16 Ashadha 2050,"Jul 24, 1994"
17 Ashadha 2050,"Jul 25, 1994"
18 Ashadha 2050,"Jul 26, 1994"
19 Ashadha 2050,"Jul 27, 1994"
20 Ashadha 2050,"Jul 28, 1994"
21 Ashadha 2050,"Jul 29, 1994"
22 Ashadha 2050,"Jul 30, 1994"
23 Ashadha 2050,"Jul 31, 1994"
24 Ashadha 2050,"Aug 01, 1994"
25 Ashadha 2050,"Aug 02, 1994"
26 Ashadha 2050,"Aug 03, 1994"
27 Ashadha 2050,"Aug 04, 1994"
28 Ashadha 2050,"Aug 05, 1994"
29 Ashadha 2050,"Aug 06, 1994"
30 Ashadha 2050,"Aug 07, 1994"
1 Shravana 2050,"Aug 08, 1994"
2 Shravana 2050,"Aug 09, 1994"
3 Shravana 2050,"Aug 10, 1994"
4 Shravana 2050,"Aug 11, 1994"
5 Shravana 2050,"Aug 12, 1994"
6 Shravana 2050,"Aug 13, 1994"
7 Shravana 2050,"Aug 14, 1994"
8 Shravana 2050,"Aug 15, 1994"
9 Shravana 2050,"Aug 16, 1994"
10 Shravana 2050,"Aug 17, 1994"
11 Shravana 2050,"Aug 18, 1994"
12 Shravana 2050,"Aug 19, 1994"
13 Shravana 2050,"Aug 20, 1994"
14 Shravana 2050,"Aug 21, 1994"
15 Shravana 2050,"Aug 22, 1994"
16 Shravana 2050,"Aug 23, 1994"
17 Shravana 2050,"Aug 24, 1994"
18 Shravana 2050,"Aug 25, 1994"
19 Shravana 2050,"Aug 26, 1994"
20 Shravana 2050,"Aug 27, 1994"
21 Shravana 2050,"Aug 28, 1994"
22 Shravana 2050,"Aug 29, 1994"
23 Shravana 2050,"Aug 30, 1994"
24 Shravana 2050,"Aug 31, 1994"
25 Shravana 2050,"Sep 01, 1994"
26 Shravana 2050,"Sep 02, 1994"
27 Shravana 2050,"Sep 03, 1994"
28 Shravana 2050,"Sep 04, 1994"
29 Shravana 2050,"Sep 05, 1994"
1 Bhadarvo 2050,"Sep 06, 1994"
2 Bhadarvo 2050,"Sep 07, 1994"
3 Bhadarvo 2050,"Sep 08, 1994"
4 Bhadarvo 2050,"Sep 09, 1994"
5 Bhadarvo 2050,"Sep 10, 1994"
6 Bhadarvo 2050,"Sep 11, 1994"
7 Bhadarvo 2050,"Sep 12, 1994"
8 Bhadarvo 2050,"Sep 13, 1994"
9 Bhadarvo 2050,"Sep 14, 1994"
10 Bhadarvo 2050,"Sep 15, 1994"
11 Bhadarvo 2050,"Sep 16, 1994"
12 Bhadarvo 2050,"Sep 17, 1994"
13 Bhadarvo 2050,"Sep 18, 1994"
14 Bhadarvo 2050,"Sep 19, 1994"
15 Bhadarvo 2050,"Sep 20, 1994"
16 Bhadarvo 2050,"Sep 21, 1994"
17 Bhadarvo 2050,"Sep 22, 1994"
18 Bhadarvo 2050,"Sep 23, 1994"
19 Bhadarvo 2050,"Sep 24, 1994"
20 Bhadarvo 2050,"Sep 25, 1994"
21 Bhadarvo 2050,"Sep 26, 1994"
22 Bhadarvo 2050,"Sep 27, 1994"
23 Bhadarvo 2050,"Sep 28, 1994"
24 Bhadarvo 2050,"Sep 29, 1994"
25 Bhadarvo 2050,"Sep 30, 1994"
26 Bhadarvo 2050,"Oct 01, 1994"
27 Bhadarvo 2050,"Oct 02, 1994"
28 Bhadarvo 2050,"Oct 03, 1994"
29 Bhadarvo 2050,"Oct 04, 1994"
30 Bhadarvo 2050,"Oct 05, 1994"
1 Aaso 2050,"Oct 06, 1994"
2 Aaso 2050,"Oct 07, 1994"
3 Aaso 2050,"Oct 08, 1994"
4 Aaso 2050,"Oct 09, 1994"
5 Aaso 2050,"Oct 10, 1994"
6 Aaso 2050,"Oct 11, 1994"
7 Aaso 2050,"Oct 12, 1994"
8 Aaso 2050,"Oct 13, 1994"
9 Aaso 2050,"Oct 14, 1994"
10 Aaso 2050,"Oct 15, 1994"
11 Aaso 2050,"Oct 16, 1994"
12 Aaso 2050,"Oct 17, 1994"
13 Aaso 2050,"Oct 18, 1994"
14 Aaso 2050,"Oct 19, 1994"
15 Aaso 2050,"Oct 20, 1994"
16 Aaso 2050,"Oct 21, 1994"
17 Aaso 2050,"Oct 22, 1994"
18 Aaso 2050,"Oct 23, 1994"
19 Aaso 2050,"Oct 24, 1994"
20 Aaso 2050,"Oct 25, 1994"
21 Aaso 2050,"Oct 26, 1994"
22 Aaso 2050,"Oct 27, 1994"
23 Aaso 2050,"Oct 28, 1994"
24 Aaso 2050,"Oct 29, 1994"
25 Aaso 2050,"Oct 30, 1994"
26 Aaso 2050,"Oct 31, 1994"
27 Aaso 2050,"Nov 01, 1994"
28 Aaso 2050,"Nov 02, 1994"
29 Aaso 2050,"Nov 03, 1994"
1 Kartak 2050,"Nov 04, 1994"
2 Kartak 2050,"Nov 05, 1994"
3 Kartak 2050,"Nov 06, 1994"
4 Kartak 2050,"Nov 07, 1994"
5 Kartak 2050,"Nov 08, 1994"
6 Kartak 2050,"Nov 09, 1994"
7 Kartak 2050,"Nov 10, 1994"
8 Kartak 2050,"Nov 11, 1994"
9 Kartak 2050,"Nov 12, 1994"
10 Kartak 2050,"Nov 13, 1994"
11 Kartak 2050,"Nov 14, 1994"
12 Kartak 2050,"Nov 15, 1994"
13 Kartak 2050,"Nov 16, 1994"
14 Kartak 2050,"Nov 17, 1994"
15 Kartak 2050,"Nov 18, 1994"
16 Kartak 2050,"Nov 19, 1994"
17 Kartak 2050,"Nov 20, 1994"
18 Kartak 2050,"Nov 21, 1994"
19 Kartak 2050,"Nov 22, 1994"
20 Kartak 2050,"Nov 23, 1994"
21 Kartak 2050,"Nov 24, 1994"
22 Kartak 2050,"Nov 25, 1994"
23 Kartak 2050,"Nov 26, 1994"
24 Kartak 2050,"Nov 27, 1994"
25 Kartak 2050,"Nov 28, 1994"
26 Kartak 2050,"Nov 29, 1994"
27 Kartak 2050,"Nov 30, 1994"
28 Kartak 2050,"Dec 01, 1994"
29 Kartak 2050,"Dec 02, 1994"
1 Magasar 2050,"Dec 03, 1994"
2 Magasar 2050,"Dec 04, 1994"
3 Magasar 2050,"Dec 05, 1994"
4 Magasar 2050,"Dec 06, 1994"
5 Magasar 2050,"Dec 07, 1994"
6 Magasar 2050,"Dec 08, 1994"
7 Magasar 2050,"Dec 09, 1994"
8 Magasar 2050,"Dec 10, 1994"
9 Magasar 2050,"Dec 11, 1994"
10 Magasar 2050,"Dec 12, 1994"
11 Magasar 2050,"Dec 13, 1994"
12 Magasar 2050,"Dec 14, 1994"
13 Magasar 2050,"Dec 15, 1994"
14 Magasar 2050,"Dec 16, 1994"
15 Magasar 2050,"Dec 17, 1994"
16 Magasar 2050,"Dec 18, 1994"
17 Magasar 2050,"Dec 19, 1994"
18 Magasar 2050,"Dec 20, 1994"
19 Magasar 2050,"Dec 21, 1994"
20 Magasar 2050,"Dec 22, 1994"
21 Magasar 2050,"Dec 23, 1994"
22 Magasar 2050,"Dec 24, 1994"
23 Magasar 2050,"Dec 25, 1994"
24 Magasar 2050,"Dec 26, 1994"
25 Magasar 2050,"Dec 27, 1994"
26 Magasar 2050,"Dec 28, 1994"
27 Magasar 2050,"Dec 29, 1994"
28 Magasar 2050,"Dec 30, 1994"
29 Magasar 2050,"Dec 31, 1994"
30 Magasar 2050,"Jan 01, 1995"
1 Posh 2051,"Jan 02, 1995"
2 Posh 2051,"Jan 03, 1995"
3 Posh 2051,"Jan 04, 1995"
4 Posh 2051,"Jan 05, 1995"
5 Posh 2051,"Jan 06, 1995"
6 Posh 2051,"Jan 07, 1995"
7 Posh 2051,"Jan 08, 1995"
8 Posh 2051,"Jan 09, 1995"
9 Posh 2051,"Jan 10, 1995"
10 Posh 2051,"Jan 11, 1995"
11 Posh 2051,"Jan 12, 1995"
12 Posh 2051,"Jan 13, 1995"
13 Posh 2051,"Jan 14, 1995"
14 Posh 2051,"Jan 15, 1995"
15 Posh 2051,"Jan 16, 1995"
16 Posh 2051,"Jan 17, 1995"
17 Posh 2051,"Jan 18, 1995"
18 Posh 2051,"Jan 19, 1995"
19 Posh 2051,"Jan 20, 1995"
20 Posh 2051,"Jan 21, 1995"
21 Posh 2051,"Jan 22, 1995"
22 Posh 2051,"Jan 23, 1995"
23 Posh 2051,"Jan 24, 1995"
24 Posh 2051,"Jan 25, 1995"
25 Posh 2051,"Jan 26, 1995"
26 Posh 2051,"Jan 27, 1995"
27 Posh 2051,"Jan 28, 1995"
28 Posh 2051,"Jan 29, 1995"
29 Posh 2051,"Jan 30, 1995"
1 Maha 2051,"Jan 31, 1995"
2 Maha 2051,"Feb 01, 1995"
3 Maha 2051,"Feb 02, 1995"
4 Maha 2051,"Feb 03, 1995"
5 Maha 2051,"Feb 04, 1995"
6 Maha 2051,"Feb 05, 1995"
7 Maha 2051,"Feb 06, 1995"
8 Maha 2051,"Feb 07, 1995"
9 Maha 2051,"Feb 08, 1995"
10 Maha 2051,"Feb 09, 1995"
11 Maha 2051,"Feb 10, 1995"
12 Maha 2051,"Feb 11, 1995"
13 Maha 2051,"Feb 12, 1995"
14 Maha 2051,"Feb 13, 1995"
15 Maha 2051,"Feb 14, 1995"
16 Maha 2051,"Feb 15, 1995"
17 Maha 2051,"Feb 16, 1995"
18 Maha 2051,"Feb 17, 1995"
19 Maha 2051,"Feb 18, 1995"
20 Maha 2051,"Feb 19, 1995"
21 Maha 2051,"Feb 20, 1995"
22 Maha 2051,"Feb 21, 1995"
23 Maha 2051,"Feb 22, 1995"
24 Maha 2051,"Feb 23, 1995"
25 Maha 2051,"Feb 24, 1995"
26 Maha 2051,"Feb 25, 1995"
27 Maha 2051,"Feb 26, 1995"
28 Maha 2051,"Feb 27, 1995"
29 Maha 2051,"Feb 28, 1995"
30 Maha 2051,"Mar 01, 1995"
1 Phaguna 2051,"Mar 02, 1995"
2 Phaguna 2051,"Mar 03, 1995"
3 Phaguna 2051,"Mar 04, 1995"
4 Phaguna 2051,"Mar 05, 1995"
5 Phaguna 2051,"Mar 06, 1995"
6 Phaguna 2051,"Mar 07, 1995"
7 Phaguna 2051,"Mar 08, 1995"
8 Phaguna 2051,"Mar 09, 1995"
9 Phaguna 2051,"Mar 10, 1995"
10 Phaguna 2051,"Mar 11, 1995"
11 Phaguna 2051,"Mar 12, 1995"
12 Phaguna 2051,"Mar 13, 1995"
13 Phaguna 2051,"Mar 14, 1995"
14 Phaguna 2051,"Mar 15, 1995"
15 Phaguna 2051,"Mar 16, 1995"
16 Phaguna 2051,"Mar 17, 1995"
17 Phaguna 2051,"Mar 18, 1995"
18 Phaguna 2051,"Mar 19, 1995"
19 Phaguna 2051,"Mar 20, 1995"
20 Phaguna 2051,"Mar 21, 1995"
21 Phaguna 2051,"Mar 22, 1995"
22 Phaguna 2051,"Mar 23, 1995"
23 Phaguna 2051,"Mar 24, 1995"
24 Phaguna 2051,"Mar 25, 1995"
25 Phaguna 2051,"Mar 26, 1995"
26 Phaguna 2051,"Mar 27, 1995"
27 Phaguna 2051,"Mar 28, 1995"
28 Phaguna 2051,"Mar 29, 1995"
29 Phaguna 2051,"Mar 30, 1995"
30 Phaguna 2051,"Mar 31, 1995"
1 Chaitra 2051,"Apr 01, 1995"
